월,일,요일,공부량,독서,토탈 집중,수면,시간,수면효율,평가,후기,목표
4월,21일,수,,,,8시간 52분,23:00~07:52,81%,,,
4월,22일,목,,,,8시간 5분,00:08~08:13,90%,,,
4월,23일,금,,1시간 9분,1시간 9분,8시간 24분,00:19~08:43,84%,,,
4월,24일,토,,17분,17분,8시간 9분,23:52~08:01,80%,,,
4월,25일,일,,,,,,,,,
4월,26일,월,48분,1시간 50분,2시간 39분,6시간 47분,00:17~07:04,84%,,,
4월,27일,화,27분,1시간 21분,1시간 48분,8시간 3분,00:04~08:36,83%,,,
4월,28일,수,,1시간 14분,1시간 14분,7시간 26분,23:40~07:06,84%,,,
4월,29일,목,,1시간 6분,1시간 6분,6시간 47분,01:15~08:02,83%,,,
4월,30일,금,48분,1시간 11분,1시간 59분,7시간 30분,23:39~07:09,83%,,,
5월,1일,토,,38분,38분,7시간 15분,01:13~08:28,84%,,,
5월,2일,일,1시간 9분,,1시간 9분,6시간 54분,02:27~09:21,77%,,,
5월,3일,월,2시간 17분,,2시간 17분,6시간 19분,01:12~07:31,88%,,,
5월,4일,화,4시간 1분,13분,4시간 14분,7시간 48분,23:54~07:42,83%,,,
5월,5일,수,3시간 10분,,3시간 10분,9시간 25분,23:54~09:19,82%,,,
5월,6일,목,3시간 2분,,3시간 2분,6시간 42분,23:55~06:37,91%,,,
5월,7일,금,3시간 7분,3분,3시간 10분,7시간 37분,23:51~07:28,87%,,,
5월,8일,토,,,,10시간 26분,22:49~09:15,83%,,,
